,en,zh_TW
story.Prologue_Closet.event_already_unlocked.text.968cf294d2af6de9dd83458665405ede889fc78c,It's already unlocked.,已經被解鎖了。
story.Prologue_Closet.event_check_boxes2.text.3efa3bb2fb6e251672fb13b7a447a4ce98e8fc21,"The box contains various empty notebooks, textbooks and... chalk.",箱子裡有著各種筆記本、課本和…粉筆。
story.Prologue_Closet.event_check_boxes2.choice.text.5078eaf469aefaa38fdd3029a11241e3cf8168bd,Take chalk?,拿走粉筆？
story.Prologue_Closet.event_check_boxes2.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Closet.event_check_boxes2.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Closet.event_check_boxes2.text.6c7046d999cb8e218e5f25caedfa2bd2129b01b4,There's nothing else of interest,沒有別的東西了
story.Prologue_Closet.event_read_letter.text.0b77af16b10644f276cd40539ac9a3a9b76f42c5,There's some dusty documents that catch your eye.,一本布滿灰塵的文件引起了妳的注意。
story.Prologue_Closet.event_read_letter.choice.text.669a9ddb15528f0c9e0a315083c81df92b8ff096,Read them?,讀它嗎？
story.Prologue_Closet.event_read_letter.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Closet.event_read_letter.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Closet.event_read_letter.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Closet.event_read_letter.text.56938ff59db914f5e4ccefed542767489539d562,It's a... lawsuit?,這是…一場訴訟？
story.Prologue_Closet.event_read_letter.text.823c138b3b79933606208b109da4b9a6798e383d,What's that doing in a place like this?,怎麼會出現在這種地方？
story.Prologue_Closet.event_read_letter.text.ca9a843c89ef06a36ac666841f012279e9d7ef19,I heard about that from my dad.,我聽我爸說過。
story.Prologue_Closet.event_read_letter.text.ab74baedf2c652b245cb8fcab62af2b401308c24,Supposedly someone sued the school because of their daughter's disappearance.,據說有人因為他的女兒失蹤而告過學校。
story.Prologue_Closet.event_read_letter.text.c4b425d460277e82e3794be207f6c0ec131bf617,"Oh, the 2nd year girl?",喔，一個二年級女生？
story.Prologue_Closet.event_read_letter.text.43b045020b2915371d1a3ef28fafe7cb0a7b420a,"I heard something happened, but I didn't know the school was involved.",我聽說出了事情，但是不知道跟學校有關。
story.Prologue_Closet.event_read_letter.text.00dbc56c38c39218e95b51f0fd0af1f553fefa0e,I don't know either.,我也不知道。
