,en,zh_TW
story.Prologue_Club_Theater.event_blanket_with_girls.text.4c2d8a638aa3c19312387020eff561157ad52547,What's this supposed to be? Do you guys sleep here?,這是什麼意思？妳們睡在這裡嗎？
story.Prologue_Club_Theater.event_blanket_with_girls.text.241dfaafc6b632a8901b1fcd3bf2ee503c92fb0f,Obviously not.,顯然不是。
story.Prologue_Club_Theater.event_broke_light.text.3f3c5a118bcade28eb397c1e7115f8ba179c5864,"I can't believe this, are you five years old?",不可置信，妳是三歲小孩嗎？
story.Prologue_Club_Theater.event_broke_light.text.bc05611b43ebffdfc385c18af6a20de36fe60aa7,Isn't it interesting how electronics work?,電子產品的運作原理不是很有趣嗎？
story.Prologue_Club_Theater.event_broke_light.text.bfbce03699719848712cd75a4081e6f8c9f5a778,But they DON'T work! Not anymore!,可是它們沒有在運作！壞掉了！
story.Prologue_Club_Theater.event_broke_light.text.27362b962f0875d9c84f6d2beefbd9c957025b01,I think you're wasting your breath...,我覺得妳在浪費時間…
story.Prologue_Club_Theater.event_read_letter.text.6ccf1296ed0e7a858165286bc98f1b231adac870,"""Roses are red
Violets are probably violet""","""玫瑰是紅色的
 紫羅蘭大概是紫色的"""
story.Prologue_Club_Theater.event_read_letter.text.274dc44a901fe8bc73ab84b6d5b8e460f21beac6,"""My love for you sparkles
Like the glow of a diamond""","""我對妳的愛閃閃發亮
 就像是鑽石般的光芒"""
story.Prologue_Club_Theater.event_read_letter.text.c86204783cc1781dd7bf9edb0423c857d537c1bb,"""I watch you every day
I watch you every night""","""我每天看著妳
 我每晚看著妳"""
story.Prologue_Club_Theater.event_read_letter.text.2f3fe79fdc9aca07ad09452e309732f4fede50be,"""I watch you""","""我看著妳"""
story.Prologue_Club_Theater.event_read_letter.text.b5089f6c6b5dcb9f150eb269a4fee0d8ca307c54,"""I watch you I watch you I watch you I watch you I watch you I watch you""","""我看著妳我看著妳我看著妳我看著妳我看著妳我看著妳"""
story.Prologue_Club_Theater.event_read_letter.text.db8bccc674b8ba58f7b1263c75915818ef580d82,The other side of the paper is filled with black scribbles.,紙的另一面塗滿了黑線。
story.Prologue_Club_Theater.event_read_letter.text.4160ac98f592ba346c39c5484f5404d31815bd37,That... doesn't sound right.,這…讀起來不太對勁。
story.Prologue_Club_Theater.event_read_letter.text.3ccdbf5756bedf81c5c41e428dc7b9556b188af6,Is... everyone in your club okay?,妳…社團裡的人還好嗎？
story.Prologue_Club_Theater.event_read_letter.text.01b9a27028be72a12a29d887050352893057170b,"Right now, I'm not sure...",現在，我不太確定…
story.Prologue_Club_Theater.item_chalk_on_chalkboard.text.0f8138ea884aa9649263a2462276077d77d33839,I'd rather people didn't find out I was here.,我寧願沒人發現我出現在這裡。
story.Prologue_Club_Theater.item_chalk_on_chalkboard.text.917a80a8b7976769ba308612a7c9127b2fd85f98,Please don't mess up this room...,拜託不要搞亂社辦…
story.Prologue_Club_Theater.item_curtains_get.text.e927aaa5c5f651011602e386f3b08ba7db19c984,A pile of neatly folded drapes.,一疊折疊整齊的窗簾。
story.Prologue_Club_Theater.item_curtains_get.choice.text.36870c0bf0576b146e0ca71df1c2b59120376826,Take them?,拿走嗎？
story.Prologue_Club_Theater.item_curtains_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Club_Theater.item_curtains_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Club_Theater.item_curtains_get.text.f957919718ff23b5025ae2746ec82b5dbe67cd23,This could be useful.,這應該會有用處。
story.Prologue_Club_Theater.item_curtains_get.text.690c2982c67ec91e21b03e3390b30c53b4afed4a,You don't need this anymore.,妳不需要它了。
story.Prologue_Club_Theater.item_lighter_on_box.text.ae78d23e418b00ffd21cf4c6c0ae859d10e4e2f8,Those poor boxes probably don't deserve it.,那些可憐的箱子大概不該受這種罪。
story.Prologue_Club_Theater.item_lighter_on_curtain.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,我想我不打算今天把學校燒掉。
story.Prologue_Club_Theater.item_lighter_on_curtain.text.583ed21a9497f79dfda0c41f07d5d9f1339fa489,"Wow, thank you for your generosity.",哇，感謝妳的大恩大德。
story.Prologue_Club_Theater.item_lighter_on_rack_clothes.text.cfce5bfc933dd14896bab9502b18275d5058761f,Oh how I wish...,喔我多麼希望是…
story.Prologue_Club_Theater.item_lighter_on_rack_clothes.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.5127ee45f5d64a6fbfe3f27c37d8beea71cf8b3f,"Alright, let's see...",好吧，讓我看看…
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.ac239fd3041f4009bca0d9c848b8e6b227d01dab,There's a ton of useless objects in the boxes and..... a letter.,這箱子裡有一堆沒用的物品和…一封信。
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.text.989d19b55177493e3f88ef9d9231013197c6ecd7,Read it?,讀它嗎？
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.cba0c319a35c611ede5affd4f780250d381eb0bb,They're already open.,它們已經被打開了。
story.Prologue_Club_Theater.item_scissors_on_boxes_top.text.36c23515fb3491dc51fbe435e7c933608abf2b5d,There's no point in brandishing your scissors at them. They're already open.,對著它們揮舞剪刀是沒用的。它們已經被打開了。
story.Prologue_Club_Theater.misc_blankets.text.7d58924587d931c1d9295ff4ccf9a401cd4a4621,Some blankets are sprawled all over the floor.,地板上隨意放置了些地毯。
story.Prologue_Club_Theater.misc_blankets.text.14221a0010640ed840b311d97766d6caa5bb2f93,They are too heavy to use as curtains.,它們用來當窗簾太重了。
story.Prologue_Club_Theater.misc_boxes_bottom.text.b53b35f7b7b214674e13481499bef51809a131a7,A large pile of cardboard boxes sealed with tape.,一大堆被膠帶封住的紙箱。
story.Prologue_Club_Theater.misc_boxes_bottom.text.a050b2217b25ad30c8bf0a1dc5cd99506cd4155f,There's nothing else of interest in them.,它們沒什麼特別的。
story.Prologue_Club_Theater.misc_boxes_bottom.choice.text.84afb35a1ba26162173e1a26c2dd9f79ce85ae52,Read the letter?,讀信嗎？
story.Prologue_Club_Theater.misc_boxes_bottom.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Club_Theater.misc_boxes_bottom.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Club_Theater.misc_boxes_top.text.aab805103dcdf1a9f9b35a3cb147cb485a241a2f,Some cardboard boxes full of neatly folded costumes.,紙箱裡裝滿了摺疊整齊的服裝。
story.Prologue_Club_Theater.misc_chair.text.cf740baa6a7305c086caac5df6871daa24bd6cde,Chairs. No time to rest right now.,椅子。現在沒空休息。
story.Prologue_Club_Theater.misc_chalkboard.text.bcffb737b9bc1ea3d1359f104da6efb0df6a1ff6,A chalkboard. There's a smiley face drawn on it.,黑板。上面畫著笑臉。
story.Prologue_Club_Theater.misc_chalkboard.text.98b19fcaf754dcd6a1a29eafc7e87e37dd006ec6,A chalkboard. The letter F is written on it.,黑板。上面寫著字母 F。
story.Prologue_Club_Theater.misc_chalkboard.text.efd1e7a56ab689e770f9b0cfbc9185dfe1543804,A chalkboard. I can't tell what's drawn on it.,黑板。我看不出上面畫了什麼。
story.Prologue_Club_Theater.misc_chalkboard.text.da4f57539e464e7abbbaac53c8f00ac13f0c0236,A chalkboard. There are stars drawn on it.,黑板。上面畫著星星。
story.Prologue_Club_Theater.misc_chalkboard.text.cd74b8208a8586773228bef978f3cf72d07ae731,Did you draw this?,這是妳畫的嗎？
story.Prologue_Club_Theater.misc_chalkboard.text.21b19c9e143790e788896e29f3261d3dc0f89c8d,Do I look like the only member of this club?,我看起來像是社團唯一的成員嗎？
story.Prologue_Club_Theater.misc_chalkboard.text.6957adfa2f1a0283214dd319309f179fec3aa41d,So... did you draw this?,所以…這是妳畫的嗎？
story.Prologue_Club_Theater.misc_chalkboard.text.4fc4d2f5bdc5ee1e0e461fdd9af31204cb74d9bf,...Maybe I did.,…也許是吧。
story.Prologue_Club_Theater.misc_chalkboard.text.47f131607710dd1a6a77acf70086d5e28cc3a091,"A chalkboard. The word ""THIEF"" is written on it.","黑板。上面寫著""小偷""。"
story.Prologue_Club_Theater.misc_chalkboard.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Club_Theater.misc_chalkboard.text.56a9b34dbefaed4524137f5754f81ee30a98aef9,A chalkboard. There's... something drawn on it.,黑板。上面畫著某種東西。
story.Prologue_Club_Theater.misc_chalkboard.text.46e43c4b711d7e99962a30e1a9a1ad68ea9ccf51,Where did they find red chalk...?,是哪裡找來紅粉筆的…？
story.Prologue_Club_Theater.misc_curtain_left.text.20afdf017229aa6ca3b6a8440095073b3ba5247e,A soft red curtain.,柔軟的紅色窗簾。
story.Prologue_Club_Theater.misc_curtain_left.choice.text.d13ef70cd78ecb9ba032b8a548aafe1d24ccc308,Draw curtain?,拿開簾子？
story.Prologue_Club_Theater.misc_curtain_left.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Club_Theater.misc_curtain_left.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Club_Theater.misc_curtain_left.choice.text.10c8a40cff7af3e45db4e42e05dea5b462f6796b,Take them out?,拿走嗎？
story.Prologue_Club_Theater.misc_curtain_right.text.20afdf017229aa6ca3b6a8440095073b3ba5247e,A soft red curtain.,柔軟的紅色窗簾。
story.Prologue_Club_Theater.misc_curtain_right.choice.text.10c8a40cff7af3e45db4e42e05dea5b462f6796b,Take them out?,拿走嗎？
story.Prologue_Club_Theater.misc_curtain_right.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Club_Theater.misc_curtain_right.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Club_Theater.misc_drawers_1.text.4f2c5673295af6dbdc4a2ccd0b5d0a6f92bce3ba,There's some paint and brushes in the drawer.,抽屜裡有些顏料和刷子。
story.Prologue_Club_Theater.misc_drawers_2.text.59dce0f7c5de1580b9238379b4898b408008e247,There are various makeup kits and accessories in the drawer.,抽屜裡有各種化妝用品和飾品。
story.Prologue_Club_Theater.misc_light_switch.text.03e21049391c155d4c0a62dead0eb29c4107d62e,It's not working.,沒有用。
story.Prologue_Club_Theater.misc_light_switch.text.63f85997a2c16bddedb856bf36d64924274dcb81,It's not working anymore.,已經沒用了。
story.Prologue_Club_Theater.misc_rack_clothes.text.7be4744f300ce4576c18d20d720add8ace3bb679,Several hand made costumes are hanging from the rack.,有些手工服裝掛在架子上。
story.Prologue_Club_Theater.misc_rack_clothes.text.34dc5c46b0dbe7f66d37fcadf0b7edf3eb64e3b9,"Blegh, they have poor taste in clothes.",呃，他們對衣服的品味很糟。
story.Prologue_Club_Theater.misc_rack_clothes.text.dcb3b825ca9bde777dbf253e73cd4ded127755ad,"You DO know these are for acting, right...?",妳知道這些是用來演戲的，對吧…？
story.Prologue_Club_Theater.misc_rack_hats.text.438986c1a54778b49c4bcd93d2bf979d034a39c2,A rack with various hats and scarves.,掛著各式帽子和圍巾的架子。
