,en,zh_TW
story.Prologue_Ending_K7_2.event_already_open.text.968cf294d2af6de9dd83458665405ede889fc78c,It's already unlocked.,已經被解鎖了。
story.Prologue_Ending_K7_2.event_check_secret_open.text.69851c726ce9e637dcadf0296c0a917ad54d47a0,...but there's nothing inside.,…可是裡面沒有東西。
story.Prologue_Ending_K7_2.event_check_secret_open.text.065e84d428f9061a0f9e2bdd5b2b5ea32f3ce38d,There's some schematics for some sort of machine you don't really understand.,上面有著妳無法理解某種機器的構造圖。
story.Prologue_Ending_K7_2.event_check_secret_open.text.2669cc23ec9a922ca884004193bd4d8e1e422462,What's that?,這是什麼？
story.Prologue_Ending_K7_2.event_check_secret_open.text.0c3ed6989600027bf834b5dbdae6827da3e4d4be,Not a clue... but I'm taking it.,完全不瞭…可是我要拿走。
story.Prologue_Ending_K7_2.event_read_documents.text.b6d244c0e8be2cce7eda1c8f8cb17b9403609fb7,There's some official-looking documents here.,看起來有很正式的文件在裡面。
story.Prologue_Ending_K7_2.event_read_documents.choice.text.669a9ddb15528f0c9e0a315083c81df92b8ff096,Read them?,讀它嗎？
story.Prologue_Ending_K7_2.event_read_documents.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Ending_K7_2.event_read_documents.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Ending_K7_2.event_read_documents.text.a5ca1b97a1d069b86e0927db82527e5d7e1bd2ab,${img:stamp_council} MEETING 176 NOTES,${img:stamp_council} 會議 176 筆記
story.Prologue_Ending_K7_2.event_read_documents.text.dc1e8cf357a7552a09f1c308741b2556785d773a,"""...disagreements on the distribution of the....""","""…不同意發布…"""
story.Prologue_Ending_K7_2.event_read_documents.text.1d80b08628c2a209bcba2bc7c76a233ab49cf275,"""...is still not participating in our...""","""…仍然沒有參與我們的…"""
story.Prologue_Ending_K7_2.event_read_documents.text.4d0f59cdc6688ae030f8d700c2d5f613168c5ecc,"""...the secondary duty of guardians...""","""…守護者的次要職責…"""
story.Prologue_Ending_K7_2.event_read_documents.text.cf254c0dae43bb11b82ce3b653d2e38ef10e9f2e,"""...collection of stones from every...""","""…收集各…的石頭…"""
story.Prologue_Ending_K7_2.event_read_documents.text.38044dad011511ac1b7b0d254e9d631fe371af5b,The document continues making little sense for several pages.,還有好幾頁意義不明的文件。
story.Prologue_Ending_K7_2.event_read_documents.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Ending_K7_2.event_read_documents.text.ef64927c0bf5c8cbe1cdaea41eacb7d07a69075f,What the hell am I reading?,我到底在讀什麼鬼？
story.Prologue_Ending_K7_2.event_read_documents.text.fa49cb307a80bc610227416132f07cab1aeb96d4,There's nothing else of interest.,沒有別的東西了。
story.Prologue_Ending_K7_2.item_hairpin_on_locker.text.2b8fda9ac1cebeb67f7ea62bcc3893c4f740d7a4,The hairpin doesn't fit into this lock.,髮夾沒辦法插進鎖中。
story.Prologue_Ending_K7_2.item_locker_key_on_locker_0.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_1.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_2.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
