,en,zh_TW
story.Prologue_HOD.event_kat_explore_1.text.6ce4b8ea6a33af7fa5b6d2f548ee820834c63e4a,That's strange.,真奇怪。
story.Prologue_HOD.event_kat_explore_1.text.761fb53bce5ba88e379af29b59af733892348766,Have I already passed through here?,我經過過這裡了嗎？
story.Prologue_HOD.event_kat_explore_1.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_HOD.event_kat_explore_1.text.d02a007e3cd3e718416b5fc06097b8d14ceb6504,I have.,我有。
story.Prologue_HOD.event_kat_explore_1.text.9c4d28dac355afbda8acf50991980c2b658a80ab,Hmm...,嗯嗯嗯…
story.Prologue_HOD.event_kat_explore_1.text.fb411b88c36e3a2b8f9d7ef1d7a466a7e5707a56,There must be something I missed.,我一定是錯過什麼了。
story.Prologue_HOD.event_kat_explore_3.text.573bb829bf9bd8b1e02ce682aa335d48cb9d2ff0,Um... am I lost? I don't remember this hallway being so long before.,嗯…我迷路了嗎？我不記得這條走廊有這麼長。
story.Prologue_HOD.event_lockpick_fail.text.10b6753c67605ada6f0a708ea2ffce0bc2974285,Uh-oh... The hairpin is bent badly.,呃-喔…髮夾被掰彎了。
story.Prologue_HOD.event_lockpick_fail.text.b8790c089e4db8df8b214bfb8f841cda51486ddb,I don't think it can take much more of this.,我覺得它沒辦法再承受下去了。
story.Prologue_HOD.event_lockpick_fail.text.6c5d4f53a547bf0474ddcb15037067e54fb37fb6,The hairpin broke.,髮夾壞掉了。
story.Prologue_HOD.event_lockpick_success.text.f79c8d11189f1dbf961110f8c8a9fab86c46107b,The door unlocked!,門開了！
story.Prologue_HOD.event_move_to_hallway.choice.text.f99761c9689562534806b858abb1fb34f5225554,"Before proceeding through the door, do you wish to save your progress?",在進門前，是否要儲存你的進度？
story.Prologue_HOD.event_move_to_hallway.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_HOD.event_move_to_hallway.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_HOD.item_hairpin_on_door3.text.540d1c82afb1afe5549a6ac537746bf3a3b56c14,The lock looks really sturdy.,鎖看起來很堅固。
story.Prologue_HOD.item_hairpin_on_door3.choice.text.83765b5e1dd3408132357acdfdd94c5749051beb,Should I try to pick it?,我應該嘗試撬開它嗎？
story.Prologue_HOD.item_hairpin_on_door3.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_HOD.item_hairpin_on_door3.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_HOD.item_key_get.text.1846bfe3766e48ddc0f45453fc676af9070ee0f2,There's a key hanging from a hook.,鉤子上掛了一把鑰匙。
story.Prologue_HOD.item_key_get.choice.text.6c1e8c2e7c024ee354fe5072160eb7fafdaff73c,Take Key?,拿走鑰匙嗎？
story.Prologue_HOD.item_key_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_HOD.item_key_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_HOD.item_key_get.text.ecbbc3e519fd0aa7a63abcf53dc8ba8fc02b1cf2,There's nothing left.,沒有東西了。
story.Prologue_HOD.item_key_on_door3.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鑰匙吻合！
story.Prologue_HOD.item_lighter_on_door2.text.21d07523b7ce000b5e1a7b7df7117afa8cbaf55b,I don't suppose I could burn these planks down...?,我應該沒辦法燒掉這些木板…？
story.Prologue_HOD.item_lighter_on_door2.text.d6bc0a78704ed6edfc861ffc793578dd60839839,"Ugh, it's no use. I'll run out of fuel before they even warm up.",啊，沒用。它們被熱起來之前燃料就會被用完。
story.Prologue_HOD.item_lighter_on_door2.text.da5772e844bdff2164e622187088e84cb4f1b37d,There's no point in that.,這麼做沒有意義。
story.Prologue_HOD.item_lighter_on_goop.text.999d087b27c7b5a835572a67031638c0f1308ceb,Hm... This is a closed space.,嗯…這是密閉空間。
story.Prologue_HOD.item_lighter_on_goop.text.1d820b19cc0bb8ac2102968b154e14a1f5c6ca4b,"If this turns out to be flammable, it could get really dangerous.",如果它們是可燃的，會很危險。
story.Prologue_HOD.item_lighter_on_goop.text.f89549a77a794bdf314546357a6b84e5847ec51a,I really shouldn't.,我真的不該這麼做。
story.Prologue_HOD.item_no_keyhole.text.4c185e949c93945c1f937c32295badaca7153b32,This door has no keyhole.,這扇門沒有鑰匙孔。
story.Prologue_HOD.item_wrong_key_on_door3.text.3715c0c9b7f1208bc096adccf9820f36c100d219,This key doesn't fit here.,鑰匙插不進去。
story.Prologue_HOD.misc_goop_1.text.d2568aa7789dba9346bfd707dbf619e5b9e6c883,A black substance drips down from here.,黑色的物質從這裡滴出來。
story.Prologue_HOD.misc_goop_1.text.e49557dc253379fab3f692aeb73c9546299fcfea,Where is this stuff coming from?,這東西是從哪來的？
story.Prologue_HOD.misc_goop_2.text.ca13117cd0ebd4f85907096a975e4ee403066d00,A black substance drips down from above.,黑色的物質從上面滴出來。
story.Prologue_HOD.misc_goop_2.text.5c43dee8ac31c6bbbe734b86a5105af8948e51b7,"Whatever it is, it looks disgusting.",不管這是什麼，看起來都很噁心。
story.Prologue_HOD.misc_goop_3.text.1b477f1e097f7dba99c2d56ac75926816200ad1e,A large amount of a black substance has accumulated under the stairs.,大量的黑色物質堆積在樓梯下。
story.Prologue_HOD.misc_goop_3.text.d6d59fe2235e1ae9bbbdd98333d326876646c178,This stuff makes me uneasy... What if it comes alive or something?,這玩意兒讓我很不安…如果它活過來了還是怎麼樣了會發生什麼事？
story.Prologue_HOD.misc_mirrors.text.f4f3b3044cb5258d31cfa714135e09da25e9a2b7,The way these mirrors are set on the walls is almost comforting.,鏡子放在牆上的方式讓我很安心。
story.Prologue_HOD.misc_mirrors.text.20e054ae8bf664c4e3de721de0bdd30d37154d77,But staring into mirrors in a place like this...,但是在這種地方看著鏡子…
story.Prologue_HOD.misc_mirrors.text.6499eea611cfc68deab171bee6fc24a800099d0c,It's almost like I'm asking to be jump-scared.,感覺就像我自己想被嚇到一樣。
story.Prologue_HOD.misc_mirrors.text.34cfed3bc123c80c134568fe7db6245c960e809c,Multiple reflections stare back at you.,多個倒影也在凝視著我。
story.Prologue_HOD.misc_pipes.text.7fcb271f65bb272532f13b53ef3b2fe4f8a5e94f,Nonsensical pipes run all over the place.,毫無道理的管線布滿了此處。
story.Prologue_HOD.misc_pipes.text.3689e5c5e62e58fab014dcb2bb536e9c1688b806,They are warm to the touch. Is this some sort of heating?,它們摸起來很溫暖。是某種加熱裝置嗎？
story.Prologue_HOD.move_door1.text.ddbd38eba1be4e0b57ef351bba980f224c8ba179,A door with an odd pattern.,有著奇怪圖案的門。
story.Prologue_HOD.move_door1.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,被鎖住了。
story.Prologue_HOD.move_door2.text.ddbd38eba1be4e0b57ef351bba980f224c8ba179,A door with an odd pattern.,有著奇怪圖案的門。
