,en,zh_TW
story.Prologue_Hallway.event_closet_door_locked_forever.text.db2f9877d0f6f90134d8355730c91e84e4f0c528,"The keyhole has vanished, making it impossible to pick.",鑰匙孔消失了，讓它無法被撬開。
story.Prologue_Hallway.event_closet_door_locked_forever.text.2aea4d8500673644a5867607bc4fc22d7ab3d699,What... the hell? Are you guys seeing what I'm seeing?,什麼…鬼？妳們也看到了嗎？
story.Prologue_Hallway.event_closet_door_locked_forever.text.f689591d19bc83db04d80b8be36a30be62a7e51b,Maybe it's a sign...,也許這是個跡象…
story.Prologue_Hallway.event_closet_door_locked_forever.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Hallway.event_exit.text.d9ff225b339ce0c71158adad95dcaf862ec42734,This leads downstairs and outside of the school.,從這裡可以下樓並到學校外面。
story.Prologue_Hallway.event_exit.text.30da629656cc7cd2d0fd9c76a165b781d444434b,I should be able to find everything I need on this floor.,我應該可以在這一層找到所有我需要的東西。
story.Prologue_Hallway.event_exit.text.5b9cf0772c9f5c57587509bdceac0c4814974f06,No need to go downstairs.,不需要下樓。
story.Prologue_Hallway.event_exit.choice.text.218340ff245ad56e76aa4b163d9f84ced20e3694,Give up and go home?,放棄然後回家？
story.Prologue_Hallway.event_exit.choice.0ecdb1487f73a79a39bd0dbcf37b64fa6920c993,"Yes, this is scary",好，這好可怕
story.Prologue_Hallway.event_exit.choice.ebb19f20d41e0103e3e11e0d6f9d0b6f30b736eb,"No, let's finish this",不要，完成它吧
story.Prologue_Hallway.event_exit.text.b36d367c606e5d74547c9070d7bf6f93c04716f1,What are you doing? Are we done already?,妳在做什麼？已經沒事了嗎？
story.Prologue_Hallway.event_exit.choice.text.e2f033826024b1c973e85c59f0a88480c9bf6ecd,Are we going home?,我們要回家了嗎？
story.Prologue_Hallway.event_exit.choice.a849a86ea8744e427b4d033af84f646695dd92df,"Yeah, let's go",好吧，我們走
story.Prologue_Hallway.event_exit.choice.bcac1df79ec80fa8aa38e3d2a45cf9aebd19a26d,"No, we're not done",不，我們還有事
story.Prologue_Hallway.event_exit.text.fca0572517893dc5807fb2725066c96beca0022c,Really? I guess I'll go get my stuff.,真的嗎？那我去拿我的東西。
story.Prologue_Hallway.event_exit_2.text.faec884e3f6d7f2b98d09a898858624fd36dea7e,I am a little creeped out but...,我有點被嚇到了，可是…
story.Prologue_Hallway.event_exit_2.text.96d1f366163acc15715db9bc2490426e15fb2e7d,I'm going to finish what I started.,我要完成我開始的事情。
story.Prologue_Hallway.event_exit_2.choice.text.218340ff245ad56e76aa4b163d9f84ced20e3694,Give up and go home?,放棄然後回家。
story.Prologue_Hallway.event_exit_2.choice.85f57b94b622e802439b4bd38d5b567ff7b92899,"Yes, let's go home",好，回家吧
story.Prologue_Hallway.event_exit_2.choice.b720077b964126f5b75ee3185d5deb031f494706,"No, let's stay",不要，留下來
story.Prologue_Hallway.event_lockpick_closet_fail.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Hallway.event_lockpick_closet_success.text.f79c8d11189f1dbf961110f8c8a9fab86c46107b,The door unlocked!,門被打開了！
story.Prologue_Hallway.event_lockpick_theater_fail.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Hallway.event_lockpick_theater_fail.text.dda80c8b79e331c1ed166f893a63d9cd5e8285f0,"Well, that didn't go as planned.",好吧，跟我想的不一樣。
story.Prologue_Hallway.event_see_closet_door.text.a17c7690aeab045d071cab3c08f4d4c2f4344a99,This room is...,這房間是…
story.Prologue_Hallway.event_see_closet_door.text.72bdf46f82455dcaa2b3b971969984b90e60fc50,"What IS this room, anyways?",這到底是什麼房間？
story.Prologue_Hallway.event_see_closet_door.text.8457cb82ae8c79e300c75bf5d15437dfc026b3b8,I don't think I've ever seen anybody use it.,我沒看過任何人使用它。
story.Prologue_Hallway.event_see_closet_door.text.6f04e8684c494f9f89e543aa4318cabb0b86fcb9,Me neither.,我也沒有。
