,en,zh_TW
story.Prologue_Nightmare_Office.item_no_keyhole.text.fac0f1cc9962b9686fcece47e7d84a7eeb7b102d,There's no keyhole on the door.,門上沒有鑰匙孔。
story.Prologue_Nightmare_Office.misc_books_1.text.68651f7e26f4b36b4a74a7bc16e26fe9f0c45ccd,A pile of science books.,一堆科學相關書本。
story.Prologue_Nightmare_Office.misc_books_2.text.70a8bb54f8a9ee437937fc3fd936eec507c463a8,A pile of science books. Many pages are bookmarked.,一堆科學相關書本。很多頁都有書籤。
story.Prologue_Nightmare_Office.misc_books_3.text.fb0933a174d59ab9995700d1e955f4073febb415,Books on out-of-body experiences.,靈魂出竅體驗的書本。
story.Prologue_Nightmare_Office.misc_books_4.text.a9aecc481647678a86062bd8f44587f72f9752e7,"A pile of books. The top one is called ""Depictions of psychological trauma in research patients.""","一堆書本。最上面的標題是""研究患者的心理創傷描述。"""
story.Prologue_Nightmare_Office.misc_books_5.text.c0fa2f096e620711ae6eb171533005934011ab65,A pile of anatomy textbooks.,一堆解剖學課本。
story.Prologue_Nightmare_Office.misc_bookshelf.text.b939d6012185de6121f75afa63b70e2e94e68f75,The bookshelf towers over your small figure.,書架聳立於妳嬌小的身軀前。
story.Prologue_Nightmare_Office.misc_bookshelf_2.text.d24911705bad90c5731ab2a406951e9b95803464,The bookshelf has always felt too large for comfort.,書架的大小一直讓我感到不舒服。
story.Prologue_Nightmare_Office.misc_bookshelf_3.text.ee52daf3484d760e1379bac869f60eb53057007c,The bookshelf is filled with hard to read books.,書架塞滿了艱澀難懂的書本。
story.Prologue_Nightmare_Office.misc_bookshelf_4.text.be1f2c5097ae047d23dc3e7caec8faae44fa8819,The bookshelf has books with titles you can't even pronounce.,書架上有妳根本無法唸出書名的書。
story.Prologue_Nightmare_Office.misc_couch.text.f5087f43fe7f0359a5436096be0f11538570f9bb,What the hell.,什麼鬼。
story.Prologue_Nightmare_Office.misc_couch.text.b8df2825c3e6d2dfb2012aa8e1d32a5f299fe735,Was that...?,那是…？
story.Prologue_Nightmare_Office.misc_couch.text.2d31720cfbddfa6c419d3ed4f46c4ed1081d4af2,No. It wasn't.,不。不是。
story.Prologue_Nightmare_Office.misc_couch.text.b1f178fff38e138d4df0b0033ea6eab05e7ba137,It's just an empty couch.,只是張空沙發。
story.Prologue_Nightmare_Office.misc_desk.text.6fd8cfa955392b1cb8274438be2ad5da937d41aa,A familiar desk.,熟悉的桌子。
story.Prologue_Nightmare_Office.misc_desk_center.text.8a1aaeae30a63c18138e64fa162c6d20461c8d2d,______val of souls from_____avel below the_____ot follow instructions____velope______.,___的靈魂來自___之下___跟隨著___的指引。
story.Prologue_Nightmare_Office.misc_desk_center.text.c9c78472123392606b0f9a80e82b486649d5fa6f,It's too hazy to read.,讀起來太模糊了。
story.Prologue_Nightmare_Office.misc_desk_left.text.8ecd384000720962b3181e730a3b2e9960d488d6,A story book and a photo of someone.,故事書和某人的照片。
story.Prologue_Nightmare_Office.misc_desk_right.text.6ef7b25ba72f75809fbe99f44884750fb7769f68,Some books on physiological changes in humans in specific environments.,關於人類在特定環境下生理變化的書本。
story.Prologue_Nightmare_Office.misc_desk_right.text.0e6326d15e09d255ba43e747b7c76d9aaadf1988,There's also a notebook filled with rough scribbles and notes.,還有填滿潦草的塗鴉和筆記的筆記本。
story.Prologue_Nightmare_Office.misc_painting.text.0dc6d2e8001a0ceb060c37ef003b1e9e55e24a64,A painting of a vague memory.,描繪著模糊記憶的畫作。
story.Prologue_Nightmare_Office.misc_painting_2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Nightmare_Office.misc_trashcan.text.676dd213da2413e2dfe68dfcc96a71c498acd958,A trashcan filled with blank pieces of paper.,塞滿白紙的垃圾桶。
story.Prologue_Nightmare_Office.misc_windows.text.82ba6b6db8766abe5f278ec33f1f6d3cf2719ca3,...!,…！
story.Prologue_Nightmare_Office.misc_windows.text.b083f48f829d28c8ccc3466d27272164d6f2cd0e,Just what is this place...,這到底是什麼地方…
story.Prologue_Nightmare_Office.move_next.text.3334ce603fa627142ed1764605d840c3e618a6de,"Not interested, huh?",不感興趣嗎？
story.Prologue_Nightmare_Office.move_next.text.556d230c6975b8a9f57781aa3198815967932203,So? What do you think? I can see everything that's in your head.,那麼，妳怎麼看？我可以看穿你的思緒。
story.Prologue_Nightmare_Office.move_next.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Nightmare_Office.move_next.text.bedc5b5623fc1c071476f4b3df5089edbff438b3,You really should make an effort to be more lively.,妳真的該試著變得活潑一點。
story.Prologue_Nightmare_Office.move_next.text.9ad8606a3741086bc94c820bd2b2a175558c1ceb,"You only have until I decide I'm done playing around with you, you know?",我玩夠了才會放妳走，知道嗎？
story.Prologue_Nightmare_Office.move_next.text.168555a88e86d69ade0d63299bc12ad7e5d02b44,And then...,然後…
story.Prologue_Nightmare_Office.move_next.text.f76527cb1d49674915de80c3419198a11bd51dbe,...snap.,…啪。
story.Prologue_Nightmare_Office.move_return.text.47120aeb748b72d1746fb98044b5377ba6a5586c,The door you came through won't open anymore.,妳先前進入的門無法再打開了。
